,success,NetworkStrength,ClientTenure,Employees,state,Industry,population,tot_payroll_q1,tot_payroll_annual,tot_employers,company_size,income_cat
629,1,0.6907,6,16,MI,I12,1202362.0,711268.0,2811128.0,1867.0,Small,Upper
634,0,0.7062,3,52,GA,I22,691893.0,66792.0,279076.0,402.0,Medium,Lower-Middle
642,0,-0.5883,10,23,MN,I27,144248.0,119086.0,486548.0,683.0,Small,Lower-Middle
659,1,-0.3407,4,25,GA,I23,265128.0,38221.0,158769.0,205.0,Small,Low
662,0,0.1056,10,24,IL,I20,5194675.0,295463.0,1239007.0,1468.0,Small,Upper Middle
663,0,-0.0879,18,235,PA,I20,214437.0,79059.0,310873.0,413.0,Medium,Lower-Middle
666,0,0.3918,12,30,NY,I13,1585873.0,3182624.0,11580193.0,6585.0,Small,Upper
701,0,0.1056,21,45,IL,I14,916924.0,714133.0,2644657.0,1453.0,Small,Upper
711,0,-0.859,29,5782,TX,I26,310235.0,1629.0,6017.0,20.0,Large,Low
716,0,-0.3026,1,15,GA,Unknown,155547.0,200005.0,816118.0,1169.0,Small,Middle
719,0,0.745,1,12,CO,Unknown,600158.0,608348.0,2132987.0,1014.0,Small,Upper
722,0,-0.8207,7,39,MN,I17,20840.0,197.0,930.0,12.0,Small,Low
735,1,0.6907,5,52,MI,I19,1202362.0,213121.0,907181.0,1370.0,Medium,Middle
740,0,0.7289,1,75,SC,Unknown,136555.0,52645.0,218095.0,768.0,Medium,Low
746,0,0.5411,4,86,CA,I20,9818605.0,563026.0,2200872.0,2045.0,Medium,Upper
765,0,0.4868,27,86,OR,I27,735334.0,407594.0,1520356.0,952.0,Medium,Upper Middle
775,0,0.5958,9,24,MN,I21,129928.0,292907.0,1247104.0,1041.0,Small,Upper Middle
793,1,0.1007,17,40,MO,I09,998954.0,852258.0,3133376.0,1724.0,Small,Upper
797,1,0.7075,2,617,FL,I27,1748066.0,78750.0,329844.0,1195.0,Large,Lower-Middle
801,1,-1.6766,1,6,TX,I22,35096.0,152904.0,500675.0,294.0,Micro,Lower-Middle
811,1,1.0891,11,94,GA,I12,179684.0,374042.0,1611871.0,1632.0,Medium,Upper Middle
835,0,0.292,4,26,AZ,I22,3817117.0,752284.0,2858615.0,3336.0,Small,Upper
839,0,0.7129,40,32,MI,I13,1820584.0,117992.0,464590.0,540.0,Small,Lower-Middle
845,0,-0.7762,20,32,SD,I07,44828.0,150769.0,625399.0,897.0,Small,Middle
851,0,-0.2482,4,372,PA,I21,207820.0,34470.0,141124.0,106.0,Large,Low
864,0,0.7132,11,19,MI,I19,602622.0,37051.0,163198.0,252.0,Small,Low
876,1,-0.3161,27,75,ND,I19,149778.0,138292.0,581669.0,822.0,Medium,Lower-Middle
877,0,-0.0671,1,36,MI,Unknown,425790.0,102836.0,425922.0,887.0,Small,Lower-Middle
903,0,-0.0319,22,23,AL,I12,194656.0,63585.0,272967.0,412.0,Small,Lower-Middle
908,0,0.7075,33,538,FL,I12,1748066.0,520975.0,1903165.0,1144.0,Large,Upper Middle
918,0,0.24,1,14,GA,Unknown,16276.0,18318.0,81375.0,295.0,Small,Low
920,1,0.6928,1,16,NC,Unknown,900993.0,177496.0,717148.0,1301.0,Small,Middle
921,0,-0.3405,17,14,IA,I19,211226.0,236385.0,969063.0,1352.0,Small,Middle
922,0,0.1056,1,59,IL,Unknown,5194675.0,1585738.0,5972003.0,2115.0,Medium,Upper
924,0,0.5165,26,88,NC,I20,138428.0,188392.0,764536.0,772.0,Medium,Middle
927,0,-0.8657,6,36,NC,I02,488406.0,334852.0,1339489.0,1178.0,Small,Upper Middle
932,0,1.0284,4,8,GA,I22,259424.0,184167.0,699683.0,663.0,Micro,Middle
937,0,0.446,21,33,MI,I20,160248.0,282509.0,1055599.0,760.0,Small,Upper Middle
948,0,0.4928,6,11,TX,I27,157107.0,68244.0,285615.0,594.0,Small,Lower-Middle
952,1,0.1815,2,22,IL,I27,515269.0,270344.0,1122590.0,1466.0,Small,Upper Middle
953,1,-0.4355,13,29,TX,I25,32334.0,106730.0,433793.0,575.0,Small,Lower-Middle
965,0,0.7734,30,7,TN,I20,18787.0,39265.0,147408.0,284.0,Micro,Low
982,0,0.1056,3,33,IL,I19,5194675.0,981652.0,3442223.0,1907.0,Small,Upper
983,0,-0.2462,1,9,WI,Unknown,389891.0,422749.0,1713823.0,1629.0,Micro,Upper Middle
993,1,0.3866,7,74,MN,I26,508640.0,53497.0,223153.0,589.0,Medium,Low
1006,0,0.622,19,17,OH,Unknown,441815.0,337761.0,1285429.0,1030.0,Small,Upper Middle
1009,1,0.6907,2,28,MI,Unknown,1202362.0,40197.0,187670.0,469.0,Small,Low
1019,0,-0.2305,5,21,KS,I19,498365.0,184825.0,779664.0,686.0,Small,Middle
1024,0,0.0978,4,14,SC,I12,451225.0,356691.0,1419816.0,1403.0,Small,Upper Middle
1029,0,0.5411,4,36,CA,I27,9818605.0,254539.0,1059443.0,1562.0,Small,Upper Middle
1034,0,0.2884,8,44,KS,I20,544179.0,348585.0,1436549.0,1250.0,Small,Upper Middle
1047,0,-0.5709,6,14,NC,I22,98078.0,112704.0,476766.0,733.0,Small,Lower-Middle
1059,0,0.1011,2,30,TX,I20,4092459.0,599722.0,2430586.0,1533.0,Small,Upper
1065,0,0.5411,4,25,CA,I27,9818605.0,118111.0,496506.0,915.0,Small,Lower-Middle
1066,0,-0.2097,19,26,PA,I03,1223348.0,691621.0,2531348.0,1198.0,Small,Upper
1087,1,1.0372,19,103,MI,I27,55729.0,35703.0,151957.0,278.0,Medium,Low
1089,1,0.4125,34,57,CA,I25,1781642.0,43750.0,178213.0,369.0,Medium,Low
1112,1,0.1056,1,171,IL,I26,5194675.0,107729.0,407718.0,872.0,Medium,Lower-Middle
1120,1,0.1805,1,32,TX,Unknown,1809034.0,774648.0,3009328.0,1478.0,Small,Upper
1125,0,0.1805,4,73,TX,I27,1809034.0,176360.0,680095.0,452.0,Medium,Middle
1145,0,0.3749,10,77,TX,I27,2368139.0,878362.0,3189867.0,1106.0,Medium,Upper
1146,1,0.1056,1,15,IL,Unknown,5194675.0,65844.0,243879.0,599.0,Small,Low
1147,0,0.2923,8,35,DC,I11,601723.0,1655187.0,6164841.0,2298.0,Small,Upper
1154,0,0.6466,9,77,NM,I11,17950.0,50727.0,210551.0,348.0,Medium,Low
1163,0,0.4163,5,4,TN,I27,38413.0,13514.0,59316.0,118.0,Micro,Low
1178,1,-0.4495,10,582,PA,I20,88765.0,149641.0,598117.0,918.0,Large,Middle
1179,0,0.1815,24,16,IL,Unknown,916924.0,243153.0,994071.0,1118.0,Small,Middle
1191,0,0.149,9,21,TX,I27,782341.0,180479.0,812155.0,1374.0,Small,Middle
1195,0,0.3749,32,26,TX,I27,2368139.0,452629.0,1849272.0,1572.0,Small,Upper Middle
1226,0,-0.8071,4,125,TX,I23,209714.0,331585.0,1370373.0,1348.0,Medium,Upper Middle
1238,0,0.3595,5,30,KY,I23,159720.0,99740.0,401713.0,749.0,Small,Lower-Middle
1249,1,0.8483,4,23,CA,I07,2189641.0,211.0,944.0,7.0,Small,Low
1250,0,0.8483,4,57,CA,I27,2189641.0,2730.0,12435.0,14.0,Medium,Low
1290,0,-1.6793,1,27,VA,I20,17434.0,1806.0,7721.0,35.0,Small,Low
1300,0,0.6284,10,2,CA,Unknown,3095313.0,3040330.0,11889194.0,3087.0,Micro,Upper
1304,0,-0.8576,15,68,AR,I16,125744.0,174651.0,720756.0,1100.0,Medium,Middle
1307,0,0.5411,6,34,CA,I13,9818605.0,1476205.0,5663494.0,2678.0,Small,Upper
1317,0,-1.0853,14,274,AL,I27,334811.0,65776.0,271607.0,518.0,Large,Lower-Middle
1320,0,0.3102,1,27,TX,Unknown,585375.0,102078.0,435255.0,829.0,Small,Lower-Middle
1323,1,-0.2554,1,10,NC,Unknown,40271.0,42298.0,181394.0,480.0,Micro,Low
1329,0,-0.1249,1,37,TX,Unknown,1714773.0,274990.0,1130781.0,1418.0,Small,Upper Middle
1336,0,-0.4597,18,71,IL,I24,295266.0,181658.0,726044.0,894.0,Medium,Middle
1350,0,-0.7831,24,10,WI,I17,101633.0,227634.0,921890.0,1030.0,Micro,Middle
1358,1,0.0257,11,55,FL,I20,543376.0,122074.0,525025.0,982.0,Medium,Lower-Middle
1360,1,0.2923,10,112,DC,I14,601723.0,1655187.0,6164841.0,2298.0,Medium,Upper
1373,0,-0.3161,22,51,ND,I23,149778.0,400169.0,1609982.0,1948.0,Medium,Upper Middle
1417,0,0.2401,29,105,NC,Unknown,919628.0,355685.0,1355200.0,1322.0,Medium,Upper Middle
1421,1,0.7062,1,21,GA,Unknown,920581.0,311120.0,1300486.0,919.0,Small,Upper Middle
1429,0,0.8253,23,5,OH,I20,1280122.0,151768.0,705319.0,687.0,Micro,Middle
1432,0,-1.0644,11,30,WI,I19,51208.0,13005.0,55327.0,30.0,Small,Low
1457,0,0.7208,2,24,LA,Unknown,440171.0,271881.0,1114873.0,1504.0,Small,Upper Middle
1458,0,0.0558,1,56,CA,I20,805235.0,2733402.0,9680531.0,2695.0,Medium,Upper
1463,0,0.6383,3,14,CA,I12,415057.0,329055.0,1393608.0,1775.0,Small,Upper Middle
1469,0,0.0842,22,22,MS,I12,82910.0,245745.0,976480.0,1072.0,Small,Middle
1473,0,0.9968,9,84,CA,I20,2035210.0,862959.0,3567712.0,2615.0,Medium,Upper
1482,0,0.1056,3,20,IL,I27,5194675.0,20599.0,90131.0,282.0,Small,Low
1486,0,0.3413,3,18,TX,I11,1024266.0,1024684.0,4035526.0,2507.0,Small,Upper
1495,0,-0.0953,11,7,NC,I09,267587.0,319335.0,1277632.0,1422.0,Micro,Upper Middle
1500,1,-0.6538,9,30,TX,I25,120877.0,147018.0,589037.0,822.0,Small,Middle
1508,0,0.202,34,39,LA,I23,52780.0,70817.0,299733.0,240.0,Small,Lower-Middle
1509,0,0.7132,1,451,MI,I19,602622.0,219432.0,886512.0,581.0,Large,Middle
1511,1,-0.3153,5,27,MS,I23,139668.0,72918.0,305087.0,785.0,Small,Lower-Middle
1553,0,-0.4215,1,21,IL,Unknown,22363.0,747.0,3445.0,22.0,Small,Low
1557,0,-0.2127,9,8,WI,I15,131887.0,151761.0,640660.0,623.0,Micro,Middle
1569,0,-0.1124,26,380,MN,I13,1152425.0,955981.0,3525128.0,975.0,Large,Upper
1572,0,0.3413,36,29,TX,I25,1024266.0,280101.0,1207492.0,1385.0,Small,Upper Middle
1580,1,0.7062,1,26,GA,Unknown,920581.0,1913802.0,6046434.0,2572.0,Small,Upper
1590,0,0.3777,4,23,TX,I19,1809034.0,452827.0,1819750.0,590.0,Small,Upper Middle
1625,0,0.3394,5,12,NE,I24,517110.0,447608.0,1795995.0,1138.0,Small,Upper Middle
1629,1,-0.3701,3,41,FL,I09,275487.0,22080.0,91521.0,307.0,Small,Low
1650,0,0.6859,31,3082,MI,I08,840978.0,126561.0,517950.0,715.0,Large,Lower-Middle
1655,0,-0.0066,1,34,MI,Unknown,344791.0,128095.0,562028.0,498.0,Small,Lower-Middle
1665,0,0.819,14,48,GA,I15,920581.0,1270978.0,4328211.0,1572.0,Small,Upper
1685,0,-0.1406,10,15,IL,I02,515269.0,231132.0,977699.0,965.0,Small,Middle
1703,0,0.4721,10,16,CO,I27,600158.0,200612.0,895628.0,1390.0,Small,Middle
1706,1,0.0978,43,151,SC,I12,451225.0,630966.0,2559453.0,2602.0,Medium,Upper
1714,1,0.3413,27,16,TX,I24,1024266.0,157319.0,612796.0,406.0,Small,Middle
1715,0,0.2225,28,222,MD,I27,620961.0,39558.0,165871.0,483.0,Medium,Low
1722,0,0.3381,3,20,IN,I20,197559.0,171010.0,723240.0,857.0,Small,Middle
1727,0,0.6907,24,10,MI,I12,1202362.0,559210.0,2328733.0,1783.0,Micro,Upper
1739,0,0.7132,18,21,MI,I24,602622.0,33793.0,149642.0,440.0,Small,Low
1750,0,0.292,2,96,AZ,I08,3817117.0,516846.0,2097696.0,1012.0,Medium,Upper
1756,0,0.3849,14,30,MI,I09,344791.0,287627.0,1177757.0,1647.0,Small,Upper Middle
1759,0,0.32,27,120,TN,I27,626681.0,182616.0,760513.0,761.0,Medium,Middle
1770,0,-0.1424,1,62,IL,Unknown,703462.0,291905.0,1189219.0,1316.0,Medium,Upper Middle
1771,0,-0.1704,6,11,NC,I02,900993.0,690691.0,2495784.0,1317.0,Small,Upper
1779,0,0.7577,28,376,CA,I23,1049025.0,296866.0,1088229.0,619.0,Large,Upper Middle
1793,0,0.2229,3,40,TN,Unknown,927644.0,62631.0,319375.0,289.0,Small,Lower-Middle
1814,1,0.5766,2,92,OH,I21,1163414.0,877128.0,3178395.0,1251.0,Medium,Upper
1817,0,0.0031,6,30,PA,I24,498886.0,18833.0,62272.0,44.0,Small,Low
1824,0,0.7062,2,43,GA,Unknown,920581.0,1367748.0,4527711.0,1546.0,Small,Upper
1836,1,-0.4251,19,301,MO,I21,18971.0,73176.0,326281.0,462.0,Large,Lower-Middle
1838,0,0.2225,1,68,MD,Unknown,805029.0,115778.0,479910.0,209.0,Medium,Lower-Middle
1845,0,0.3018,24,156,NC,I25,73673.0,195061.0,794791.0,885.0,Medium,Middle
1850,1,0.5554,14,98,TX,I01,39309.0,22843.0,96569.0,252.0,Medium,Low
1858,0,0.0389,3,28,AZ,Unknown,980263.0,235645.0,989199.0,1445.0,Small,Middle
1881,0,-0.5635,24,81,SD,I22,169468.0,1387.0,6756.0,9.0,Medium,Low
1884,1,-0.6325,2,60,AR,Unknown,382748.0,89951.0,388978.0,619.0,Medium,Lower-Middle
1909,1,-0.1124,2,48,MN,I20,1152425.0,94653.0,400498.0,422.0,Small,Lower-Middle
1921,0,-0.1249,2,111,TX,I11,1714773.0,287988.0,1188932.0,1496.0,Medium,Upper Middle
1926,1,0.5753,21,21,OH,I27,161573.0,64713.0,279247.0,595.0,Small,Lower-Middle
1932,0,-1.2375,24,95,PA,I20,31946.0,26250.0,108667.0,209.0,Medium,Low
1938,1,0.1056,1,26,IL,I13,5194675.0,5551926.0,17253657.0,3405.0,Small,Upper
1941,1,0.6859,4,141,MI,I20,840978.0,184240.0,814273.0,1048.0,Medium,Middle
1945,0,-0.9138,26,140,WI,I21,176695.0,300702.0,1194471.0,959.0,Medium,Upper Middle
1957,0,0.2225,13,7,MD,I19,805029.0,53670.0,233348.0,654.0,Micro,Low
1969,0,-0.3407,7,13,GA,I21,265128.0,169988.0,695631.0,1259.0,Small,Middle
1977,1,0.1056,1,5,IL,Unknown,5194675.0,1585738.0,5972003.0,2115.0,Micro,Upper
1979,1,0.2655,1,225,MN,I22,398552.0,105885.0,429926.0,530.0,Medium,Lower-Middle
1991,0,0.1839,3,150,NY,I20,744344.0,67753.0,273579.0,377.0,Medium,Lower-Middle
2000,0,0.8483,1,23,CA,Unknown,2189641.0,314057.0,1270466.0,1500.0,Small,Upper Middle
2003,0,0.2424,2,21,NC,I25,141752.0,134848.0,558227.0,816.0,Small,Lower-Middle
2008,0,0.7132,4,28,MI,I24,602622.0,0.0,0.0,6.0,Small,Low
2018,0,0.7383,2,71,VA,Unknown,222209.0,577141.0,2322364.0,2425.0,Medium,Upper
2022,0,0.6136,17,31,OH,I20,375586.0,169281.0,679458.0,361.0,Small,Middle
2026,0,0.828,8,84,MI,Unknown,61295.0,71620.0,296047.0,427.0,Medium,Lower-Middle
2034,0,0.1056,4,13,IL,Unknown,5194675.0,2368860.0,8327226.0,2501.0,Small,Upper
2079,1,0.8472,1,35,OH,Unknown,301356.0,11230.0,49656.0,99.0,Small,Low
2089,0,0.2819,2,18,VA,I27,204214.0,215352.0,822140.0,848.0,Small,Middle
2090,0,0.5073,26,26,NY,Unknown,216469.0,101074.0,407116.0,905.0,Small,Lower-Middle
2092,0,0.1056,20,965,IL,I09,5194675.0,132738.0,494440.0,815.0,Large,Lower-Middle
2093,0,0.149,5,15,TX,I09,782341.0,394004.0,1605568.0,1966.0,Small,Upper Middle
2095,0,0.0397,37,96,TN,I13,336463.0,375721.0,1263495.0,633.0,Medium,Upper Middle
2102,1,0.1815,11,22,IL,I20,916924.0,348593.0,1455456.0,1622.0,Small,Upper Middle
2113,0,0.1056,2,33,IL,I20,5194675.0,399228.0,1698877.0,1366.0,Small,Upper Middle
2114,1,0.819,3,17,GA,I13,688078.0,101599.0,355459.0,173.0,Small,Lower-Middle
2118,0,0.5957,3,8,CA,I26,823318.0,401955.0,1661285.0,2550.0,Micro,Upper Middle
2138,1,-0.6033,17,211,WI,Unknown,248007.0,172066.0,676154.0,739.0,Medium,Middle
2146,0,-0.8504,7,15,TX,I23,92565.0,133120.0,579055.0,999.0,Small,Lower-Middle
2156,1,0.7129,1,6,MI,Unknown,1820584.0,311518.0,1397226.0,457.0,Micro,Upper Middle
2163,1,0.149,1,45,TX,Unknown,782341.0,255960.0,1055433.0,1221.0,Small,Upper Middle
2165,0,0.3413,8,50,TX,I09,1024266.0,280101.0,1207492.0,1385.0,Small,Upper Middle
2169,0,0.5411,3,18,CA,I22,9818605.0,347138.0,1479097.0,2021.0,Small,Upper Middle
2176,1,0.7075,1,21,FL,Unknown,1748066.0,141999.0,569555.0,1254.0,Small,Lower-Middle
2196,0,0.1785,3,288,CO,Unknown,30952.0,10180.0,43132.0,115.0,Large,Low
2199,0,0.0709,28,20,MI,I27,136146.0,89106.0,366807.0,314.0,Small,Lower-Middle
2208,1,-0.8657,2,11,NC,I19,488406.0,178416.0,754950.0,1069.0,Small,Middle
2216,0,0.6907,12,21,MI,I11,1202362.0,180503.0,660242.0,669.0,Small,Middle
2227,0,0.1056,8,40,IL,I20,916924.0,292005.0,1168457.0,1428.0,Small,Upper Middle
2240,0,0.292,25,9,AZ,I22,3817117.0,430409.0,1704477.0,2366.0,Micro,Upper Middle
2245,0,0.3413,3,12,TX,I27,1024266.0,1024684.0,4035526.0,2507.0,Small,Upper
2251,0,0.5411,18,3,CA,I26,9818605.0,337895.0,1481086.0,1252.0,Micro,Upper Middle
2252,0,0.4868,14,11,OR,I12,735334.0,135118.0,583271.0,1182.0,Small,Lower-Middle
2261,0,-0.3655,15,22,NE,I17,36288.0,1276.0,6158.0,33.0,Small,Low
2289,1,-0.6094,1,20,MN,Unknown,200226.0,155959.0,629591.0,937.0,Small,Middle
2297,0,0.5411,3,262,CA,I23,9818605.0,106261.0,442398.0,920.0,Large,Lower-Middle
2309,0,0.32,12,230,TN,I15,626681.0,220450.0,1001394.0,974.0,Medium,Middle
2330,0,1.4919,1,19,GA,I22,175511.0,178929.0,772382.0,1988.0,Small,Middle
2334,1,-0.009,19,239,IA,I12,44151.0,138866.0,582523.0,989.0,Medium,Lower-Middle
2349,0,0.1523,7,15,NV,I19,48818.0,171085.0,686694.0,825.0,Small,Middle
2359,0,0.0246,16,11,LA,I27,233740.0,352820.0,1379488.0,1661.0,Small,Upper Middle
2375,0,0.1056,11,30,IL,I20,5194675.0,707898.0,2939105.0,2575.0,Small,Upper
2405,0,0.4239,2,152,CA,I02,930450.0,299718.0,1264615.0,1556.0,Medium,Upper Middle
2414,0,0.1007,3,71,MO,I22,998954.0,415774.0,1653302.0,826.0,Medium,Upper Middle
2421,0,0.3567,24,767,WV,I20,11937.0,15158.0,61887.0,180.0,Large,Low
2425,0,-0.5977,9,17,PA,I27,268100.0,31143.0,132061.0,26.0,Small,Low
2431,0,0.5411,24,58,CA,I13,9818605.0,476530.0,1822084.0,1322.0,Medium,Upper Middle
2432,0,0.1056,4,32,IL,I09,5194675.0,5551926.0,17253657.0,3405.0,Small,Upper
2433,0,0.1815,16,4,IL,I23,916924.0,443716.0,1684376.0,734.0,Micro,Upper Middle
2435,0,0.1007,3,11,MO,I12,998954.0,427327.0,1670706.0,1236.0,Small,Upper Middle
2441,0,0.7129,13,46,MI,I27,1820584.0,42620.0,173736.0,449.0,Small,Low
2448,0,0.8483,1,19,CA,Unknown,2189641.0,207425.0,881882.0,1411.0,Small,Middle
2451,0,-0.1704,31,148,NC,I24,900993.0,425594.0,1709378.0,1935.0,Medium,Upper Middle
2452,1,0.8253,16,67,OH,I27,1280122.0,392139.0,1480633.0,784.0,Medium,Upper Middle
2457,0,0.2655,5,26,MN,I27,398552.0,124163.0,485377.0,1016.0,Small,Lower-Middle
2461,0,0.7194,10,67,FL,I01,2496435.0,676589.0,2614235.0,3659.0,Medium,Upper
2479,0,0.1337,6,38,IL,I22,677560.0,215713.0,931905.0,819.0,Small,Middle
2487,0,-0.6146,2,31,IL,I20,113449.0,134648.0,569357.0,767.0,Small,Lower-Middle
2494,0,0.2401,25,28,NC,I27,919628.0,180691.0,755665.0,697.0,Small,Middle
2498,0,0.7163,19,33,CO,I20,622263.0,109740.0,449495.0,470.0,Small,Lower-Middle
2507,1,0.0,4,283,LA,I11,27979.0,32825.0,138731.0,374.0,Large,Low
